nomecurto;ear_data;ear_max_bacia;ear_verif_bacia_mwmes;ear_verif_bacia_percentual
GRANDE;2012-01-24;51488.0;44015.0;85.48999786376953
IGUACU;2012-01-24;10248.0;6811.0;66.45999908447266
JACUI;2012-01-24;3197.0;1996.0;62.439998626708984
JEQUITINHONHA;2012-01-24;3024.0;2658.0;87.88999938964844
PARAGUACU;2012-01-24;304.0;99.0;32.540000915527344
PARAGUAI;2012-01-24;563.0;375.0;66.62999725341797
PARAIBA DO SUL;2012-01-24;7360.0;5460.0;74.18000030517578
PARANA;2012-01-24;6059.0;3669.0;60.54999923706055
PARANAIBA;2012-01-24;75422.0;53666.0;71.1500015258789
PARANAPANEMA;2012-01-24;11598.0;8228.0;70.94999694824219
